Agente,Partida,Victoria,Tiempo_Jugada_ms,Turnos_Totales
Probabilistico,192,0,0.08089291421990645,38
Probabilistico,193,1,0.06690025329589844,90
Probabilistico,194,0,0.07743713183280748,78
Probabilistico,195,1,0.0,86
Probabilistico,196,0,0.09491396885292204,102
Probabilistico,197,0,0.14040387909987875,58
Probabilistico,198,1,0.09744614362716675,224
Probabilistico,199,0,0.09076676126253806,118
Probabilistico,200,1,0.03966263362339565,70
Probabilistico,201,0,0.09512383004893427,46
Probabilistico,202,1,0.0,34
Probabilistico,203,1,0.17678219339121945,46
Probabilistico,204,0,0.10236378373770878,58
Probabilistico,205,1,0.0,86
Probabilistico,206,1,0.0,24
Probabilistico,207,1,0.17417560924183237,66
Probabilistico,208,1,0.0312769854510272,54
Probabilistico,209,1,0.0,134
Probabilistico,210,0,0.19114872194686028,106
Probabilistico,211,1,0.06287544965744019,32
Probabilistico,212,1,0.06899708195736534,152
Probabilistico,213,0,0.0,74
Probabilistico,214,1,0.19916172685294314,58
Probabilistico,215,1,0.0,182
Probabilistico,216,0,0.0915860617032615,186
Probabilistico,217,1,0.0,36
Probabilistico,218,1,0.10239084561665852,144
Probabilistico,219,0,0.0,32
Probabilistico,220,0,0.10652012295193142,270
Probabilistico,221,0,0.0,74
Probabilistico,222,1,0.28874874114990234,40
Probabilistico,223,0,0.0,142
Probabilistico,224,0,0.0,36
Probabilistico,225,0,0.0,34
Probabilistico,226,0,0.26709646792025177,74
Probabilistico,227,0,0.0678574716722643,148
Probabilistico,228,0,0.0857168977910822,44
Probabilistico,229,1,0.06095207098758582,66
Probabilistico,230,0,0.06695853339301215,90
Probabilistico,231,0,0.06696383158365886,30
Probabilistico,232,1,0.0257922543419732,72
Probabilistico,233,1,0.10199864705403645,150
Probabilistico,234,0,0.0873249152611042,116
Probabilistico,235,1,0.07188114626654263,116
Probabilistico,236,0,0.09263952573140462,240
Probabilistico,237,1,0.05793204674353966,130
Probabilistico,238,1,0.022744431215174058,136
Probabilistico,239,1,0.17843059464996935,102
Probabilistico,240,0,0.0,22
Probabilistico,241,0,0.0,82
Probabilistico,242,0,0.3956189522376427,26
Probabilistico,243,1,0.08780615670340401,70
Probabilistico,244,0,0.06880543448708273,154
Probabilistico,245,1,0.0824586550394694,300
Probabilistico,246,1,0.04914114552159463,62
Probabilistico,247,1,0.10431037758881191,106
Probabilistico,248,0,0.0,40
Probabilistico,249,0,0.0,90
CFR,1,0,0.07884101112290184,202
CFR,2,1,0.06656646728515625,240
CFR,3,1,0.01290787098019622,86
CFR,4,1,0.046066845519633234,316
CFR,5,0,0.17702049679226345,90
CFR,6,1,0.07190874644688197,56
CFR,7,1,0.066987673441569,30
CFR,8,0,0.06375615558927022,126
CFR,9,0,0.05895644426345825,64
CFR,10,1,0.05023777484893799,80
